# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	2518
#@/user_id	win-config
a 	啊	c=5 d=1.30504 t=2518
a li 	阿里	c=1 d=0.110555 t=2518
a li yun pan 	阿里雲盤	c=1 d=0.50409 t=2518
an 	按	c=4 d=0.847894 t=2518
an niu 	按鈕	c=1 d=1 t=1160
an quan 	安全	c=1 d=0.97531 t=2518
an zhuang 	安裝	c=8 d=1.54806 t=2218
ba 	吧	c=12 d=1.99411 t=2518
ba 	把	c=8 d=0.984559 t=2518
ba le si tan 	巴勒斯坦	c=1 d=1 t=2000
ba ya 	拔牙	c=1 d=1 t=1504
ban 	版	c=2 d=1.91393 t=1414
ban 	班	c=1 d=1 t=2343
ban 	辦	c=1 d=1 t=2351
ban ben 	版本	c=5 d=0.449329 t=2518
ban fa 	辦法	c=1 d=1 t=2272
bang ding 	綁定	c=1 d=1 t=1936
bang le 	幫了	c=1 d=1 t=1943
bang le 	綁了	c=1 d=1 t=1944
bang wo 	幫我	c=2 d=1.21438 t=1549
bao 	包	c=4 d=0.481909 t=2518
bao 	報	c=1 d=1.01033 t=1547
bao cun 	保存	c=6 d=1.35342 t=2518
bao le 	報了	c=1 d=1 t=1871
bao liu 	保留	c=1 d=1 t=1599
bao lu 	暴露	c=1 d=1 t=1180
bao tuan 	報團	c=1 d=1 t=2380
bao xiao 	報銷	c=1 d=1 t=1866
bao zhe ge cuo 	報這個錯	c=2 d=1.9802 t=1098
bao zheng 	保證	c=2 d=0.168638 t=2518
bei 	北	c=1 d=0.414783 t=2518
bei zhu 	備註	c=2 d=0.878887 t=2518
ben di 	本地	c=2 d=1.20495 t=1566
bi jiao shao 	比較少	c=1 d=1 t=976
bi ru 	比如	c=2 d=1.08543 t=1768
bi xu 	必須	c=1 d=0.631284 t=2518
bian 	變	c=1 d=1 t=1902
bian chang 	變長	c=0 d=0.0197899 t=2518
bian hua 	變化	c=1 d=1 t=1993
bian liang 	變量	c=9 d=0.56836 t=2518
bian ma 	編碼	c=1 d=0.494109 t=2518
bian yi 	編譯	c=2 d=1.96079 t=1092
biao 	表	c=0 d=0.0918512 t=2518
biao da 	表達	c=1 d=1 t=1225
biao da shi 	表達式	c=4 d=0.934582 t=2518
biao ji 	標記	c=2 d=1.96561 t=2325
biao qian 	標籤	c=1 d=0.305746 t=2518
biao qing 	表情	c=1 d=0.00914087 t=2518
bie 	別	c=1 d=0.355226 t=2518
bie qu 	別去	c=0 d=0.1 t=2361
bie qu le 	別去了	c=2 d=1.96079 t=2370
bie wen 	別問	c=1 d=1 t=2431
bie you 	別有	c=1 d=0.88692 t=2518
bie zai 	別再	c=1 d=1 t=1861
bing 	並	c=2 d=1.85642 t=1291
bing jun 	病菌	c=1 d=0.873716 t=2518
bing li 	病例	c=3 d=2.70899 t=1542
bo 	撥	c=1 d=1 t=2200
bo hao 	撥號	c=1 d=1 t=2196
bo wei 	泊位	c=0 d=0.0386741 t=2518
bo wei shu 	泊位數	c=2 d=0.789198 t=2518
bu 	不	c=2 d=0.930889 t=2518
bu cun zai 	不存在	c=3 d=0.801433 t=2518
bu da 	不大	c=1 d=1 t=1263
bu guo 	不過	c=1 d=1 t=1799
bu hui 	不會	c=3 d=2.9458 t=2086
bu jiu 	不就	c=1 d=0.941765 t=2518
bu le 	不了	c=1 d=0.56836 t=2518
bu neng 	不能	c=2 d=0.791153 t=2518
bu qing chu 	不清楚	c=6 d=0.59304 t=2518
bu qu 	不去	c=1 d=1 t=2355
bu sheng xiao 	不生效	c=1 d=0.307279 t=2518
bu shi 	不是	c=7 d=1.37893 t=2518
bu shu 	部署	c=2 d=1.52349 t=2518
bu shuo 	不說	c=1 d=1 t=2515
bu tong 	不同	c=1 d=1 t=1746
bu tong 	不通	c=2 d=1.97531 t=1805
bu tong de 	不同的	c=1 d=1 t=2283
bu xiang qu 	不想去	c=1 d=0.222017 t=2518
bu xing 	不行	c=1 d=0.618783 t=2518
bu yao 	不要	c=1 d=0.276651 t=2518
bu yi lai 	不依賴	c=1 d=0.287941 t=2518
bu yi yang 	不一樣	c=2 d=1.22313 t=2050
bu ying xiang 	不影響	c=3 d=0.784375 t=2518
bu yong 	不用	c=3 d=0.933712 t=2518
bu zhi chi 	不支持	c=2 d=1.86071 t=1026
bu zhi xing 	不執行	c=1 d=1 t=1607
cai 	才	c=1 d=1 t=1838
cai hui 	纔會	c=1 d=0.843665 t=2518
can shu 	參數	c=7 d=0.557106 t=2518
cang ku 	倉庫	c=9 d=2.50742 t=1783
cang ku ming 	倉庫名	c=1 d=1 t=1265
cao zuo 	操作	c=4 d=0.350293 t=2518
ce shi 	測試	c=4 d=0.474734 t=2518
cha 	查	c=3 d=1.76616 t=2518
cha jian 	插件	c=1 d=1 t=1892
cha kan 	查看	c=6 d=0.980199 t=2518
cha ru 	插入	c=2 d=0.360595 t=2518
cha xun 	查詢	c=5 d=0.392586 t=2518
cha zhao 	查找	c=1 d=0.19398 t=2518
chang du 	長度	c=1 d=1 t=2144
chang jing 	場景	c=1 d=1 t=1990
chang shi 	嘗試	c=1 d=1 t=2163
che 	車	c=6 d=1.74105 t=2518
che chang 	車場	c=5 d=2.12313 t=2518
che liang 	車輛	c=1 d=1 t=2088
che zhu 	車主	c=1 d=1 t=1832
cheng gong 	成功	c=1 d=0.373439 t=2518
cheng li 	成立	c=1 d=1 t=1603
cheng ren 	承認	c=1 d=1 t=1999
cheng shi 	城市	c=1 d=1 t=2125
cheng xu 	程序	c=2 d=0.256702 t=2518
chi 	池	c=1 d=0.416862 t=2518
chi yao 	喫藥	c=1 d=0.236928 t=2518
chong bo 	重播	c=1 d=1 t=2199
chong fu 	重複	c=2 d=0.620605 t=2518
chong pao 	重跑	c=2 d=0.729789 t=2518
chong qi 	重啓	c=1 d=0.348192 t=2518
chong qing 	重慶	c=1 d=0.189191 t=2518
chong tu 	衝突	c=1 d=1 t=2468
chong xin 	重新	c=4 d=0.955997 t=2518
